C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,08:00:00,REGULAR,0000916295,0003401125                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,12:00:00,REGULAR,0000916347,0003401958                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,16:00:00,REGULAR,0000916489,0003402355                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,20:00:00,REGULAR,0000916787,0003402950                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,00:00:00,REGULAR,0000916893,0003403119                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,04:00:00,REGULAR,0000916909,0003403123                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,08:00:00,REGULAR,0000916928,0003403375                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,12:00:00,REGULAR,0000917021,0003404276                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,16:00:00,REGULAR,0000917168,0003404679                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/24/2017,20:00:00,REGULAR,0000917443,0003405332                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,00:00:00,REGULAR,0000917547,0003405510                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,04:00:00,REGULAR,0000917555,0003405512                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,08:00:00,REGULAR,0000917574,0003405754                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,12:00:00,REGULAR,0000917651,0003406565                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,16:00:00,REGULAR,0000917807,0003406948                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/25/2017,20:00:00,REGULAR,0000918158,0003407550                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,00:00:00,REGULAR,0000918269,0003407760                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,04:00:00,REGULAR,0000918273,0003407766                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,08:00:00,REGULAR,0000918287,0003408031                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,12:00:00,REGULAR,0000918346,0003408717                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,16:00:00,REGULAR,0000918528,0003409163                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/26/2017,20:00:00,REGULAR,0000918786,0003409554                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,00:00:00,REGULAR,0000291047,0000472401                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,04:00:00,REGULAR,0000291096,0000472453                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,08:00:00,REGULAR,0000291124,0000472518                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,12:00:00,REGULAR,0000291279,0000472827                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,16:00:00,REGULAR,0000291524,0000473114                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0000291851,0000473448                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0000292109,0000473662                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0000292149,0000473703                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0000292169,0000473740                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0000292265,0000473923                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0000292461,0000474189                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0000292733,0000474524                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0000292890,0000474648                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,04:00:00,REGULAR,0000292905,0000474662                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0000292941,0000474960                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0000293094,0000475606                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,16:00:00,REGULAR,0000293371,0000475963                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/22/2017,20:00:00,REGULAR,0000293890,0000476489                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,00:00:00,REGULAR,0000294142,0000476638                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,04:00:00,REGULAR,0000294164,0000476646                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,08:00:00,REGULAR,0000294202,0000476946                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,12:00:00,REGULAR,0000294371,0000477691                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,16:00:00,REGULAR,0000294698,0000478075                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/23/2017,20:00:00,REGULAR,0000295276,0000478616                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,00:00:00,REGULAR,0000295548,0000478838                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,04:00:00,REGULAR,0000295571,0000478851                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,08:00:00,REGULAR,0000295605,0000479137                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,12:00:00,REGULAR,0000295805,0000479963                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,16:00:00,REGULAR,0000296140,0000480373                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/24/2017,20:00:00,REGULAR,0000296714,0000480940                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,00:00:00,REGULAR,0000297008,0000481133                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,04:00:00,REGULAR,0000297039,0000481137                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,08:00:00,REGULAR,0000297086,0000481387                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,12:00:00,REGULAR,0000297249,0000482145                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,16:00:00,REGULAR,0000297551,0000482516                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/25/2017,20:00:00,REGULAR,0000298151,0000483057                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,00:00:00,REGULAR,0000298430,0000483236                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,04:00:00,REGULAR,0000298460,0000483255                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,08:00:00,REGULAR,0000298509,0000483538                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,12:00:00,REGULAR,0000298690,0000484213                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,16:00:00,REGULAR,0000299051,0000484659                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/26/2017,20:00:00,REGULAR,0000299531,0000485088                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,00:00:00,REGULAR,0005373880,0007408515                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,04:00:00,REGULAR,0005373880,0007408536                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,08:00:00,REGULAR,0005373880,0007408596                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,12:00:00,REGULAR,0005373880,0007408790                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,16:00:00,REGULAR,0005373948,0007408982                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0005374004,0007409120                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0005374025,0007409204                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0005374025,0007409216                                            
