C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,00:00:00,REGULAR,0000277169,0000453538                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,04:00:00,REGULAR,0000277188,0000453553                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,08:00:00,REGULAR,0000277233,0000453845                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,12:00:00,REGULAR,0000277410,0000454596                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,16:00:00,REGULAR,0000277728,0000454980                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/10/2017,20:00:00,REGULAR,0000278331,0000455486                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,00:00:00,REGULAR,0000278643,0000455653                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,04:00:00,REGULAR,0000278669,0000455668                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,08:00:00,REGULAR,0000278701,0000455961                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,12:00:00,REGULAR,0000278862,0000456692                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,16:00:00,REGULAR,0000279162,0000457078                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/11/2017,20:00:00,REGULAR,0000279767,0000457624                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,00:00:00,REGULAR,0000280059,0000457833                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,04:00:00,REGULAR,0000280083,0000457849                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,08:00:00,REGULAR,0000280121,0000458145                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,12:00:00,REGULAR,0000280297,0000458849                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,16:00:00,REGULAR,0000280624,0000459187                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/12/2017,20:00:00,REGULAR,0000281260,0000459673                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,00:00:00,REGULAR,0005359515,0007389088                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,04:00:00,REGULAR,0005359547,0007389110                                            
