C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,20:00:00,REGULAR,0000913268,0003389987                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,00:00:00,REGULAR,0000913373,0003390168                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,04:00:00,REGULAR,0000913373,0003390170                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,08:00:00,REGULAR,0000913390,0003390450                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,12:00:00,REGULAR,0000913455,0003391272                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,16:00:00,REGULAR,0000913581,0003391639                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/17/2017,20:00:00,REGULAR,0000913837,0003392248                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,00:00:00,REGULAR,0000913938,0003392440                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,04:00:00,REGULAR,0000913938,0003392444                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,08:00:00,REGULAR,0000913954,0003392707                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,12:00:00,REGULAR,0000914011,0003393478                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,16:00:00,REGULAR,0000914129,0003393826                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/18/2017,20:00:00,REGULAR,0000914462,0003394387                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,00:00:00,REGULAR,0000914608,0003394581                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,04:00:00,REGULAR,0000914608,0003394582                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,08:00:00,REGULAR,0000914628,0003394784                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,12:00:00,REGULAR,0000914682,0003395321                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,16:00:00,REGULAR,0000914764,0003395769                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/19/2017,20:00:00,REGULAR,0000914979,0003396442                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,00:00:00,REGULAR,0000281519,0000459861                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,04:00:00,REGULAR,0000281572,0000459905                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,08:00:00,REGULAR,0000281591,0000459990                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,12:00:00,REGULAR,0000281695,0000460276                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,16:00:00,REGULAR,0000281926,0000460610                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/13/2017,20:00:00,REGULAR,0000282204,0000460899                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,00:00:00,REGULAR,0000282362,0000461027                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,04:00:00,REGULAR,0000282399,0000461047                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,08:00:00,REGULAR,0000282422,0000461099                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,12:00:00,REGULAR,0000282538,0000461347                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,16:00:00,REGULAR,0000282724,0000461691                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/14/2017,20:00:00,REGULAR,0000282963,0000461955                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,00:00:00,REGULAR,0000283120,0000462100                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,04:00:00,REGULAR,0000283138,0000462114                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,08:00:00,REGULAR,0000283183,0000462392                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,12:00:00,REGULAR,0000283353,0000463111                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,16:00:00,REGULAR,0000283675,0000463458                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/15/2017,20:00:00,REGULAR,0000284256,0000463943                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,00:00:00,REGULAR,0000284525,0000464113                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,04:00:00,REGULAR,0000284547,0000464128                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,08:00:00,REGULAR,0000284607,0000464456                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,12:00:00,REGULAR,0000284762,0000465202                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,16:00:00,REGULAR,0000285094,0000465481                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/16/2017,20:00:00,REGULAR,0000285786,0000465944                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,00:00:00,REGULAR,0000286050,0000466128                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,04:00:00,REGULAR,0000286052,0000466130                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,08:00:00,REGULAR,0000286089,0000466453                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,12:00:00,REGULAR,0000286278,0000467150                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,16:00:00,REGULAR,0000286573,0000467505                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/17/2017,20:00:00,REGULAR,0000287113,0000468063                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,00:00:00,REGULAR,0000287455,0000468258                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,04:00:00,REGULAR,0000287464,0000468261                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,08:00:00,REGULAR,0000287510,0000468589                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,12:00:00,REGULAR,0000287685,0000469370                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,16:00:00,REGULAR,0000288051,0000469758                                            
