,kepid,digits,KeplerName,Disposition
414,10743597,K00989.02,,FALSE POSITIVE
415,9818381,K00135.01,Kepler-43 b,CANDIDATE
416,6124941,K01058.01,,CANDIDATE
417,6060203,K01059.01,Kepler-757 b,CANDIDATE
418,5880320,K01060.01,Kepler-758 b,CANDIDATE
419,5880320,K01060.02,Kepler-758 c,CANDIDATE
420,5880320,K01060.03,Kepler-758 d,CANDIDATE
421,3003992,K01119.02,,FALSE POSITIVE
422,6307537,K01120.01,,FALSE POSITIVE
423,6359798,K01121.01,,FALSE POSITIVE
424,6311681,K01122.01,,FALSE POSITIVE
425,6365321,K01123.01,,FALSE POSITIVE
426,6301035,K01124.01,,FALSE POSITIVE
427,3859079,K01199.01,Kepler-786 b,CANDIDATE
428,3557493,K01200.01,,FALSE POSITIVE
429,4061149,K01201.01,,CANDIDATE
430,3444588,K01202.01,Kepler-787 b,CANDIDATE
431,8394721,K00152.03,Kepler-79 b,CANDIDATE
432,3962243,K01203.01,Kepler-276 c,CANDIDATE
433,10743597,K00989.03,,CANDIDATE
434,10015516,K00990.01,,FALSE POSITIVE
435,10154388,K00991.01,Kepler-744 b,CANDIDATE
436,1432789,K00992.01,Kepler-745 b,CANDIDATE
437,1718189,K00993.01,Kepler-262 c,CANDIDATE
438,5880320,K01060.04,Kepler-758 e,CANDIDATE
439,5130369,K00140.01,,FALSE POSITIVE
440,6037187,K01061.01,Kepler-759 b,CANDIDATE
441,6147122,K01062.01,,FALSE POSITIVE
442,8257407,K01063.01,,FALSE POSITIVE
443,8218274,K01064.01,,CANDIDATE
444,3964562,K00015.01,,FALSE POSITIVE
445,5735762,K00148.01,Kepler-48 b,CANDIDATE
446,6292162,K01125.01,,FALSE POSITIVE
447,6307521,K01126.01,,FALSE POSITIVE
448,6359320,K01127.01,Kepler-269 b,CANDIDATE
449,3848972,K01187.01,,FALSE POSITIVE
450,3860441,K01188.01,,FALSE POSITIVE
451,3765771,K01189.01,,FALSE POSITIVE
452,3557341,K01190.01,,FALSE POSITIVE
453,3859628,K01191.01,,CANDIDATE
454,3644071,K01192.01,,CANDIDATE
455,1718189,K00993.02,Kepler-262 b,CANDIDATE
456,1431122,K00994.01,,CANDIDATE
457,3858949,K00995.01,,FALSE POSITIVE
458,3858824,K00996.01,,FALSE POSITIVE
